,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
6539,Berlin (1936),1936,Sailing,Sailing,Peter Markham Scott,GBR,Men,olympic class monotype,Bronze,0.0,0.0,1.0
6540,Berlin (1936),1936,Athletics,Athletics,Kitei Son,JPN,Men,marathon men,Gold,1.0,0.0,0.0
6541,Berlin (1936),1936,Athletics,Athletics,Ernest Harper,GBR,Men,marathon men,Silver,0.0,1.0,0.0
6542,Berlin (1936),1936,Athletics,Athletics,Shoryu Nan,JPN,Men,marathon men,Bronze,0.0,0.0,1.0
6543,Berlin (1936),1936,Athletics,Athletics,Jesse Owens,USA,Men,long jump men,Gold,1.0,0.0,0.0
6544,Berlin (1936),1936,Athletics,Athletics,Carl Ludwig Luz Long,GER,Men,long jump men,Silver,0.0,1.0,0.0
6545,Berlin (1936),1936,Athletics,Athletics,Naoto Tajima,JPN,Men,long jump men,Bronze,0.0,0.0,1.0
6546,Berlin (1936),1936,Athletics,Athletics,Mathilde (Tilly) Fleischer,GER,Women,javelin throw women,Gold,1.0,0.0,0.0
6547,Berlin (1936),1936,Athletics,Athletics,Luise KrÃƒÂ¼ger,GER,Women,javelin throw women,Silver,0.0,1.0,0.0
6548,Berlin (1936),1936,Athletics,Athletics,Marja Jadwiga Kwasniewska-maleszewska,POL,Women,javelin throw women,Bronze,0.0,0.0,1.0
6549,Berlin (1936),1936,Athletics,Athletics,Gerhard (Gerd) StÃƒÂ¶ck,GER,Men,javelin throw men,Gold,1.0,0.0,0.0
6550,Berlin (1936),1936,Athletics,Athletics,Yrjo Jouko Nikkanen,FIN,Men,javelin throw men,Silver,0.0,1.0,0.0
6551,Berlin (1936),1936,Athletics,Athletics,Kaarlo Kalervo Toivonen,FIN,Men,javelin throw men,Bronze,0.0,0.0,1.0
6552,Berlin (1936),1936,Cycling,Cycling Road,Robert Charpentier,FRA,Men,individual road race men,Gold,1.0,0.0,0.0
6553,Berlin (1936),1936,Cycling,Cycling Road,Guy Lapebie,FRA,Men,individual road race men,Silver,0.0,1.0,0.0
6554,Berlin (1936),1936,Cycling,Cycling Road,Ernst Nievergelt,SUI,Men,individual road race men,Bronze,0.0,0.0,1.0
6555,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Karl-Alfred Schwarzmann,GER,Men,individual all-round men,Gold,1.0,0.0,0.0
6556,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Eugen Mack,SUI,Men,individual all-round men,Silver,0.0,1.0,0.0
6557,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Konrad Frey,GER,Men,individual all-round men,Bronze,0.0,0.0,1.0
6558,Berlin (1936),1936,Equestrian,Dressage,Heinz Pollay,GER,Men,individual,Gold,1.0,0.0,0.0
6559,Berlin (1936),1936,Equestrian,Eventing,Ludwig Stubbendorf,GER,Men,individual,Gold,1.0,0.0,0.0
6560,Berlin (1936),1936,Equestrian,Jumping,H:: tora,GER,Men,individual,Gold,1.0,0.0,0.0
6561,Berlin (1936),1936,Equestrian,Jumping,Kurt Hasse,GER,Men,individual,Gold,1.0,0.0,0.0
6562,Berlin (1936),1936,Equestrian,Dressage,Friedrich Gerhard,GER,Men,individual,Silver,0.0,1.0,0.0
6563,Berlin (1936),1936,Equestrian,Eventing,Earl Foster Thomson,USA,Men,individual,Silver,0.0,1.0,0.0
6564,Berlin (1936),1936,Equestrian,Jumping,H:: delfis,ROU,Men,individual,Silver,0.0,1.0,0.0
6565,Berlin (1936),1936,Equestrian,Jumping,Henri Rang,ROU,Men,individual,Silver,0.0,1.0,0.0
6566,Berlin (1936),1936,Equestrian,Dressage,Alois Podhajsky,AUT,Men,individual,Bronze,0.0,0.0,1.0
6567,Berlin (1936),1936,Equestrian,Eventing,Hans Matthiesen Lunding,DEN,Men,individual,Bronze,0.0,0.0,1.0
6568,Berlin (1936),1936,Equestrian,Jumping,H:: sello,HUN,Men,individual,Bronze,0.0,0.0,1.0
6569,Berlin (1936),1936,Equestrian,Jumping,Jozsef Von platthy,HUN,Men,individual,Bronze,0.0,0.0,1.0
6570,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Aleksanteri Saarvala,FIN,Men,horizontal bar men,Gold,1.0,0.0,0.0
6571,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Konrad Frey,GER,Men,horizontal bar men,Silver,0.0,1.0,0.0
6572,Berlin (1936),1936,Gymnastics,Artistic Gymnastics,Karl-Alfred Schwarzmann,GER,Men,horizontal bar men,Bronze,0.0,0.0,1.0
6573,Berlin (1936),1936,Hockey,Hockey,Richard James Allen,IND,Men,hockey men,Gold,1.0,0.0,0.0
6574,Berlin (1936),1936,Hockey,Hockey,Dhyan Chand Bais,IND,Men,hockey men,Gold,1.0,0.0,0.0
6575,Berlin (1936),1936,Hockey,Hockey,Roop Singh Bais,IND,Men,hockey men,Gold,1.0,0.0,0.0
6576,Berlin (1936),1936,Hockey,Hockey,Ernest John Cullen-goodsir,IND,Men,hockey men,Gold,1.0,0.0,0.0
6577,Berlin (1936),1936,Hockey,Hockey,Iqtidar Ali Shah Dara,IND,Men,hockey men,Gold,1.0,0.0,0.0
6578,Berlin (1936),1936,Hockey,Hockey,Lionel C. Emmett,IND,Men,hockey men,Gold,1.0,0.0,0.0
6579,Berlin (1936),1936,Hockey,Hockey,Peter Paul Fernandes,IND,Men,hockey men,Gold,1.0,0.0,0.0
6580,Berlin (1936),1936,Hockey,Hockey,Joseph Deville Thomas Galibardy,IND,Men,hockey men,Gold,1.0,0.0,0.0
6581,Berlin (1936),1936,Hockey,Hockey,Sayed Mohomed Hussain,IND,Men,hockey men,Gold,1.0,0.0,0.0
6582,Berlin (1936),1936,Hockey,Hockey,Sayed Mohomed Jaffar,IND,Men,hockey men,Gold,1.0,0.0,0.0
6583,Berlin (1936),1936,Hockey,Hockey,Ahmed Sher Khan,IND,Men,hockey men,Gold,1.0,0.0,0.0
6584,Berlin (1936),1936,Hockey,Hockey,Ahsan Mohomed Khan,IND,Men,hockey men,Gold,1.0,0.0,0.0
6585,Berlin (1936),1936,Hockey,Hockey,Mirza Nasir-Ud-Din Masood,IND,Men,hockey men,Gold,1.0,0.0,0.0
6586,Berlin (1936),1936,Hockey,Hockey,Cyril James Michie,IND,Men,hockey men,Gold,1.0,0.0,0.0
6587,Berlin (1936),1936,Hockey,Hockey,Baboo Narsoo Nimal,IND,Men,hockey men,Gold,1.0,0.0,0.0
6588,Berlin (1936),1936,Hockey,Hockey,Joseph Phillips,IND,Men,hockey men,Gold,1.0,0.0,0.0
6589,Berlin (1936),1936,Hockey,Hockey,Shabab-Ud-Din Shabban,IND,Men,hockey men,Gold,1.0,0.0,0.0
6590,Berlin (1936),1936,Hockey,Hockey,Gurcharan Singh garewal,IND,Men,hockey men,Gold,1.0,0.0,0.0
6591,Berlin (1936),1936,Hockey,Hockey,Carlyle Carrol Tapsell,IND,Men,hockey men,Gold,1.0,0.0,0.0
6592,Berlin (1936),1936,Hockey,Hockey,Hermann Auf der heide,GER,Men,hockey men,Silver,0.0,1.0,0.0
6593,Berlin (1936),1936,Hockey,Hockey,Ludwig Beisiegel,GER,Men,hockey men,Silver,0.0,1.0,0.0
6594,Berlin (1936),1936,Hockey,Hockey,Erich Cuntz,GER,Men,hockey men,Silver,0.0,1.0,0.0
6595,Berlin (1936),1936,Hockey,Hockey,Karl DrÃƒÂ¶se,GER,Men,hockey men,Silver,0.0,1.0,0.0
6596,Berlin (1936),1936,Hockey,Hockey,Alfred Gerdes,GER,Men,hockey men,Silver,0.0,1.0,0.0
6597,Berlin (1936),1936,Hockey,Hockey,Werner Hamel,GER,Men,hockey men,Silver,0.0,1.0,0.0
6598,Berlin (1936),1936,Hockey,Hockey,Harald Huffmann,GER,Men,hockey men,Silver,0.0,1.0,0.0
6599,Berlin (1936),1936,Hockey,Hockey,Erwin Keller,GER,Men,hockey men,Silver,0.0,1.0,0.0
6600,Berlin (1936),1936,Hockey,Hockey,Herbert Kemmer,GER,Men,hockey men,Silver,0.0,1.0,0.0
6601,Berlin (1936),1936,Hockey,Hockey,Werner Kubitzki,GER,Men,hockey men,Silver,0.0,1.0,0.0
6602,Berlin (1936),1936,Hockey,Hockey,Paul Mehlitz,GER,Men,hockey men,Silver,0.0,1.0,0.0
6603,Berlin (1936),1936,Hockey,Hockey,Karl Menke,GER,Men,hockey men,Silver,0.0,1.0,0.0
6604,Berlin (1936),1936,Hockey,Hockey,Fritz Messner,GER,Men,hockey men,Silver,0.0,1.0,0.0
6605,Berlin (1936),1936,Hockey,Hockey,Detlef Okrent,GER,Men,hockey men,Silver,0.0,1.0,0.0
6606,Berlin (1936),1936,Hockey,Hockey,Heinrich Peter,GER,Men,hockey men,Silver,0.0,1.0,0.0
6607,Berlin (1936),1936,Hockey,Hockey,Heinz Raack,GER,Men,hockey men,Silver,0.0,1.0,0.0
6608,Berlin (1936),1936,Hockey,Hockey,Karl Ruck,GER,Men,hockey men,Silver,0.0,1.0,0.0
6609,Berlin (1936),1936,Hockey,Hockey,Hans Scherbart,GER,Men,hockey men,Silver,0.0,1.0,0.0
6610,Berlin (1936),1936,Hockey,Hockey,Heinz Schmalix,GER,Men,hockey men,Silver,0.0,1.0,0.0
6611,Berlin (1936),1936,Hockey,Hockey,Rudolf (Tito) Warnholtz,GER,Men,hockey men,Silver,0.0,1.0,0.0
6612,Berlin (1936),1936,Hockey,Hockey,Kurt Weiss,GER,Men,hockey men,Silver,0.0,1.0,0.0
6613,Berlin (1936),1936,Hockey,Hockey,Erich Zander,GER,Men,hockey men,Silver,0.0,1.0,0.0
6614,Berlin (1936),1936,Hockey,Hockey,Hendrik Christiaan De looper,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6615,Berlin (1936),1936,Hockey,Hockey,Jan De looper,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6616,Berlin (1936),1936,Hockey,Hockey,Agathon De roos,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6617,Berlin (1936),1936,Hockey,Hockey,Reindert Berend Jan De waal,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6618,Berlin (1936),1936,Hockey,Hockey,Pieter Adriaan Gunning,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6619,Berlin (1936),1936,Hockey,Hockey,Carl Erich Heybroek,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6620,Berlin (1936),1936,Hockey,Hockey,Henri Carel Willem Schnitger,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6621,Berlin (1936),1936,Hockey,Hockey,Rene Sparenberg,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6622,Berlin (1936),1936,Hockey,Hockey,Ernst Willem Van den berg,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6623,Berlin (1936),1936,Hockey,Hockey,Rudolf Jacob Van der haar,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6624,Berlin (1936),1936,Hockey,Hockey,Antoine Robert Onslow Van lierop,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6625,Berlin (1936),1936,Hockey,Hockey,Max Westerkamp,NED,Men,hockey men,Bronze,0.0,0.0,1.0
6626,Berlin (1936),1936,Athletics,Athletics,Ibolya Csak,HUN,Women,high jump women,Gold,1.0,0.0,0.0
6627,Berlin (1936),1936,Athletics,Athletics,Dorothy Beatrice J. Odam-tyler,GBR,Women,high jump women,Silver,0.0,1.0,0.0
6628,Berlin (1936),1936,Athletics,Athletics,Elfriede Kaun,GER,Women,high jump women,Bronze,0.0,0.0,1.0
6629,Berlin (1936),1936,Athletics,Athletics,Cornelius Cooper Johnson,USA,Men,high jump men,Gold,1.0,0.0,0.0
6630,Berlin (1936),1936,Athletics,Athletics,David Donald Albritton,USA,Men,high jump men,Silver,0.0,1.0,0.0
6631,Berlin (1936),1936,Athletics,Athletics,Delos Packard Thurber,USA,Men,high jump men,Bronze,0.0,0.0,1.0
6632,Berlin (1936),1936,Handball,Handball,Willi Bandholz,GER,Men,handball men,Gold,1.0,0.0,0.0
6633,Berlin (1936),1936,Handball,Handball,Wilhelm Baumann,GER,Men,handball men,Gold,1.0,0.0,0.0
6634,Berlin (1936),1936,Handball,Handball,Helmut Berthold,GER,Men,handball men,Gold,1.0,0.0,0.0
6635,Berlin (1936),1936,Handball,Handball,Helmut Braselmann,GER,Men,handball men,Gold,1.0,0.0,0.0
6636,Berlin (1936),1936,Handball,Handball,Wilhelm Brinkmann,GER,Men,handball men,Gold,1.0,0.0,0.0
6637,Berlin (1936),1936,Handball,Handball,Georg Dascher,GER,Men,handball men,Gold,1.0,0.0,0.0
6638,Berlin (1936),1936,Handball,Handball,Kurt Dossin,GER,Men,handball men,Gold,1.0,0.0,0.0
6639,Berlin (1936),1936,Handball,Handball,Fritz Fromm,GER,Men,handball men,Gold,1.0,0.0,0.0
6640,Berlin (1936),1936,Handball,Handball,Hermann Hansen,GER,Men,handball men,Gold,1.0,0.0,0.0
6641,Berlin (1936),1936,Handball,Handball,Erich Hermann,GER,Men,handball men,Gold,1.0,0.0,0.0
6642,Berlin (1936),1936,Handball,Handball,Heinrich Keimig,GER,Men,handball men,Gold,1.0,0.0,0.0
6643,Berlin (1936),1936,Handball,Handball,Hans Keiter,GER,Men,handball men,Gold,1.0,0.0,0.0
6644,Berlin (1936),1936,Handball,Handball,Alfred Klingler,GER,Men,handball men,Gold,1.0,0.0,0.0
6645,Berlin (1936),1936,Handball,Handball,Arthur Knautz,GER,Men,handball men,Gold,1.0,0.0,0.0
6646,Berlin (1936),1936,Handball,Handball,Heinz KÃƒÂ¶rvers,GER,Men,handball men,Gold,1.0,0.0,0.0
6647,Berlin (1936),1936,Handball,Handball,Karl Kreutzberg,GER,Men,handball men,Gold,1.0,0.0,0.0
6648,Berlin (1936),1936,Handball,Handball,Wilhelm Muller,GER,Men,handball men,Gold,1.0,0.0,0.0
6649,Berlin (1936),1936,Handball,Handball,GÃƒÂ¼nter Ortmann,GER,Men,handball men,Gold,1.0,0.0,0.0
6650,Berlin (1936),1936,Handball,Handball,Edgar Reinhardt,GER,Men,handball men,Gold,1.0,0.0,0.0
6651,Berlin (1936),1936,Handball,Handball,Fritz Spengler,GER,Men,handball men,Gold,1.0,0.0,0.0
6652,Berlin (1936),1936,Handball,Handball,Rudolf Stahl,GER,Men,handball men,Gold,1.0,0.0,0.0
6653,Berlin (1936),1936,Handball,Handball,Hans Theilig,GER,Men,handball men,Gold,1.0,0.0,0.0
6654,Berlin (1936),1936,Handball,Handball,Franz Bartl,AUT,Men,handball men,Silver,0.0,1.0,0.0
6655,Berlin (1936),1936,Handball,Handball,Franz Berghammer,AUT,Men,handball men,Silver,0.0,1.0,0.0
6656,Berlin (1936),1936,Handball,Handball,Franz Bistricky,AUT,Men,handball men,Silver,0.0,1.0,0.0
6657,Berlin (1936),1936,Handball,Handball,Franz Brunner,AUT,Men,handball men,Silver,0.0,1.0,0.0
6658,Berlin (1936),1936,Handball,Handball,Johann Houchka,AUT,Men,handball men,Silver,0.0,1.0,0.0
6659,Berlin (1936),1936,Handball,Handball,Emil Juracka,AUT,Men,handball men,Silver,0.0,1.0,0.0
6660,Berlin (1936),1936,Handball,Handball,Ferdinand Kiefler,AUT,Men,handball men,Silver,0.0,1.0,0.0
6661,Berlin (1936),1936,Handball,Handball,Josef Kreci,AUT,Men,handball men,Silver,0.0,1.0,0.0
6662,Berlin (1936),1936,Handball,Handball,Otto Licha,AUT,Men,handball men,Silver,0.0,1.0,0.0
6663,Berlin (1936),1936,Handball,Handball,Friedrich Maurer,AUT,Men,handball men,Silver,0.0,1.0,0.0
6664,Berlin (1936),1936,Handball,Handball,Anton Perwein,AUT,Men,handball men,Silver,0.0,1.0,0.0
6665,Berlin (1936),1936,Handball,Handball,Siegfried Powolny,AUT,Men,handball men,Silver,0.0,1.0,0.0
6666,Berlin (1936),1936,Handball,Handball,Siegfried Purner,AUT,Men,handball men,Silver,0.0,1.0,0.0
6667,Berlin (1936),1936,Handball,Handball,Walter Reisp,AUT,Men,handball men,Silver,0.0,1.0,0.0
6668,Berlin (1936),1936,Handball,Handball,Alfred Schmalzer,AUT,Men,handball men,Silver,0.0,1.0,0.0
6669,Berlin (1936),1936,Handball,Handball,Alois Schnabel,AUT,Men,handball men,Silver,0.0,1.0,0.0
6670,Berlin (1936),1936,Handball,Handball,Ludwig Schuberth,AUT,Men,handball men,Silver,0.0,1.0,0.0
6671,Berlin (1936),1936,Handball,Handball,Johann Tauscher,AUT,Men,handball men,Silver,0.0,1.0,0.0
6672,Berlin (1936),1936,Handball,Handball,Jaroslav Volak,AUT,Men,handball men,Silver,0.0,1.0,0.0
6673,Berlin (1936),1936,Handball,Handball,Leopold Wohlrab,AUT,Men,handball men,Silver,0.0,1.0,0.0
6674,Berlin (1936),1936,Handball,Handball,Friedrich WurmbÃƒÂ¶ck,AUT,Men,handball men,Silver,0.0,1.0,0.0
6675,Berlin (1936),1936,Handball,Handball,Johann Zehetner,AUT,Men,handball men,Silver,0.0,1.0,0.0
6676,Berlin (1936),1936,Handball,Handball,Max Blosch,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6677,Berlin (1936),1936,Handball,Handball,Rolf FÃƒÂ¤s,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6678,Berlin (1936),1936,Handball,Handball,Burkhard Gantenbein,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6679,Berlin (1936),1936,Handball,Handball,Willy Gysi,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6680,Berlin (1936),1936,Handball,Handball,Erland Herkenrath,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6681,Berlin (1936),1936,Handball,Handball,Ernst Hufschmid,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6682,Berlin (1936),1936,Handball,Handball,Willy Hufschmid,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6683,Berlin (1936),1936,Handball,Handball,Werner Meyer,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6684,Berlin (1936),1936,Handball,Handball,Georg Mischon,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6685,Berlin (1936),1936,Handball,Handball,Willy SchÃƒÂ¤fer,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6686,Berlin (1936),1936,Handball,Handball,Werner Scheurmann,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6687,Berlin (1936),1936,Handball,Handball,Eduard Schmid,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6688,Berlin (1936),1936,Handball,Handball,Erich Schmitt,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6689,Berlin (1936),1936,Handball,Handball,Eugen Seiterle,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6690,Berlin (1936),1936,Handball,Handball,Max Streib,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6691,Berlin (1936),1936,Handball,Handball,Robert Studer,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6692,Berlin (1936),1936,Handball,Handball,Rudolf Wirz,SUI,Men,handball men,Bronze,0.0,0.0,1.0
6693,Berlin (1936),1936,Athletics,Athletics,Karl Hein,GER,Men,hammer throw men,Gold,1.0,0.0,0.0
6694,Berlin (1936),1936,Athletics,Athletics,Erwin Blask,GER,Men,hammer throw men,Silver,0.0,1.0,0.0
6695,Berlin (1936),1936,Athletics,Athletics,Alfred Warngard,SWE,Men,hammer throw men,Bronze,0.0,0.0,1.0
6696,Berlin (1936),1936,Rowing,Rowing,Fritz Bauer,GER,Men,four-oared shell with coxswain (4-) men,Gold,1.0,0.0,0.0
6697,Berlin (1936),1936,Rowing,Rowing,Ernst Gaber,GER,Men,four-oared shell with coxswain (4-) men,Gold,1.0,0.0,0.0
6698,Berlin (1936),1936,Rowing,Rowing,Hans Maier,GER,Men,four-oared shell with coxswain (4-) men,Gold,1.0,0.0,0.0
6699,Berlin (1936),1936,Rowing,Rowing,Paul SÃƒÂ¶llner,GER,Men,four-oared shell with coxswain (4-) men,Gold,1.0,0.0,0.0
6700,Berlin (1936),1936,Rowing,Rowing,Walter Volle,GER,Men,four-oared shell with coxswain (4-) men,Gold,1.0,0.0,0.0
6701,Berlin (1936),1936,Rowing,Rowing,Hermann Betschart,SUI,Men,four-oared shell with coxswain (4-) men,Silver,0.0,1.0,0.0
6702,Berlin (1936),1936,Rowing,Rowing,Alexander Homberger,SUI,Men,four-oared shell with coxswain (4-) men,Silver,0.0,1.0,0.0
6703,Berlin (1936),1936,Rowing,Rowing,Hans Homberger,SUI,Men,four-oared shell with coxswain (4-) men,Silver,0.0,1.0,0.0
6704,Berlin (1936),1936,Rowing,Rowing,Karl Schmid,SUI,Men,four-oared shell with coxswain (4-) men,Silver,0.0,1.0,0.0
6705,Berlin (1936),1936,Rowing,Rowing,Rolf Spring,SUI,Men,four-oared shell with coxswain (4-) men,Silver,0.0,1.0,0.0
6706,Berlin (1936),1936,Rowing,Rowing,Marcel Chauvigne,FRA,Men,four-oared shell with coxswain (4-) men,Bronze,0.0,0.0,1.0
6707,Berlin (1936),1936,Rowing,Rowing,Jean Marcel Cosmat,FRA,Men,four-oared shell with coxswain (4-) men,Bronze,0.0,0.0,1.0
6708,Berlin (1936),1936,Rowing,Rowing,Fernand Vandernotte,FRA,Men,four-oared shell with coxswain (4-) men,Bronze,0.0,0.0,1.0
6709,Berlin (1936),1936,Rowing,Rowing,Marcel Vandernotte,FRA,Men,four-oared shell with coxswain (4-) men,Bronze,0.0,0.0,1.0
6710,Berlin (1936),1936,Rowing,Rowing,NoÃƒÂ«l Vandernotte,FRA,Men,four-oared shell with coxswain (4-) men,Bronze,0.0,0.0,1.0
6711,Berlin (1936),1936,Rowing,Rowing,Rudolf (Rudi) Eckstein,GER,Men,four without coxswain (4-) men,Gold,1.0,0.0,0.0
6712,Berlin (1936),1936,Rowing,Rowing,Martin Karl,GER,Men,four without coxswain (4-) men,Gold,1.0,0.0,0.0
6713,Berlin (1936),1936,Rowing,Rowing,Wilhelm (Willi) Menne,GER,Men,four without coxswain (4-) men,Gold,1.0,0.0,0.0
6714,Berlin (1936),1936,Rowing,Rowing,Anton (Toni) Rom,GER,Men,four without coxswain (4-) men,Gold,1.0,0.0,0.0
6715,Berlin (1936),1936,Rowing,Rowing,Alan John Barrett,GBR,Men,four without coxswain (4-) men,Silver,0.0,1.0,0.0
6716,Berlin (1936),1936,Rowing,Rowing,Thomas Richard Mart. Bristow,GBR,Men,four without coxswain (4-) men,Silver,0.0,1.0,0.0
6717,Berlin (1936),1936,Rowing,Rowing,Peter Herbert Jackson,GBR,Men,four without coxswain (4-) men,Silver,0.0,1.0,0.0
6718,Berlin (1936),1936,Rowing,Rowing,John Duncan Sturrock,GBR,Men,four without coxswain (4-) men,Silver,0.0,1.0,0.0
6719,Berlin (1936),1936,Rowing,Rowing,Hermann Betschart,SUI,Men,four without coxswain (4-) men,Bronze,0.0,0.0,1.0
6720,Berlin (1936),1936,Rowing,Rowing,Alexander Homberger,SUI,Men,four without coxswain (4-) men,Bronze,0.0,0.0,1.0
6721,Berlin (1936),1936,Rowing,Rowing,Hans Homberger,SUI,Men,four without coxswain (4-) men,Bronze,0.0,0.0,1.0
6722,Berlin (1936),1936,Rowing,Rowing,Karl Schmid,SUI,Men,four without coxswain (4-) men,Bronze,0.0,0.0,1.0
6723,Berlin (1936),1936,Football,Football,Giuseppe Baldo,ITA,Men,football men,Gold,1.0,0.0,0.0
6724,Berlin (1936),1936,Football,Football,Sergio Bertoni,ITA,Men,football men,Gold,1.0,0.0,0.0
6725,Berlin (1936),1936,Football,Football,Carlo Biagi,ITA,Men,football men,Gold,1.0,0.0,0.0
6726,Berlin (1936),1936,Football,Football,Giulio Cappelli,ITA,Men,football men,Gold,1.0,0.0,0.0
6727,Berlin (1936),1936,Football,Football,Alfredo Foni,ITA,Men,football men,Gold,1.0,0.0,0.0
6728,Berlin (1936),1936,Football,Football,Annibale Frossi,ITA,Men,football men,Gold,1.0,0.0,0.0
6729,Berlin (1936),1936,Football,Football,Francesco Gabriotti,ITA,Men,football men,Gold,1.0,0.0,0.0
6730,Berlin (1936),1936,Football,Football,Ugo Locatelli,ITA,Men,football men,Gold,1.0,0.0,0.0
6731,Berlin (1936),1936,Football,Football,Libero Marchini,ITA,Men,football men,Gold,1.0,0.0,0.0
6732,Berlin (1936),1936,Football,Football,Alfonso Negro,ITA,Men,football men,Gold,1.0,0.0,0.0
6733,Berlin (1936),1936,Football,Football,Achille Piccini,ITA,Men,football men,Gold,1.0,0.0,0.0
6734,Berlin (1936),1936,Football,Football,Pietro Rava,ITA,Men,football men,Gold,1.0,0.0,0.0
6735,Berlin (1936),1936,Football,Football,Luigi Scarabello,ITA,Men,football men,Gold,1.0,0.0,0.0
6736,Berlin (1936),1936,Football,Football,Bruno Venturini,ITA,Men,football men,Gold,1.0,0.0,0.0
6737,Berlin (1936),1936,Football,Football,Franz Fuchsberger,AUT,Men,football men,Silver,0.0,1.0,0.0
6738,Berlin (1936),1936,Football,Football,Max Hofmeister,AUT,Men,football men,Silver,0.0,1.0,0.0
6739,Berlin (1936),1936,Football,Football,Eduard Kainberger,AUT,Men,football men,Silver,0.0,1.0,0.0
6740,Berlin (1936),1936,Football,Football,Karl Kainberger,AUT,Men,football men,Silver,0.0,1.0,0.0
6741,Berlin (1936),1936,Football,Football,Martin Kargl,AUT,Men,football men,Silver,0.0,1.0,0.0
6742,Berlin (1936),1936,Football,Football,Josef KitzmÃƒÂ¼ller,AUT,Men,football men,Silver,0.0,1.0,0.0
6743,Berlin (1936),1936,Football,Football,Anton Krenn,AUT,Men,football men,Silver,0.0,1.0,0.0
6744,Berlin (1936),1936,Football,Football,Ernst KÃƒÂ¼nz,AUT,Men,football men,Silver,0.0,1.0,0.0
6745,Berlin (1936),1936,Football,Football,Adolf Laudon,AUT,Men,football men,Silver,0.0,1.0,0.0
6746,Berlin (1936),1936,Football,Football,Franz Mandl,AUT,Men,football men,Silver,0.0,1.0,0.0
6747,Berlin (1936),1936,Football,Football,Klement Steinmetz,AUT,Men,football men,Silver,0.0,1.0,0.0
6748,Berlin (1936),1936,Football,Football,Karl WallmÃƒÂ¼ller,AUT,Men,football men,Silver,0.0,1.0,0.0
6749,Berlin (1936),1936,Football,Football,Walter Werginz,AUT,Men,football men,Silver,0.0,1.0,0.0
6750,Berlin (1936),1936,Football,Football,Arne Brustad,NOR,Men,football men,Bronze,0.0,0.0,1.0
6751,Berlin (1936),1936,Football,Football,Nils Eriksen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6752,Berlin (1936),1936,Football,Football,Odd Frantzen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6753,Berlin (1936),1936,Football,Football,Sverre Hansen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6754,Berlin (1936),1936,Football,Football,Rolf Holmberg,NOR,Men,football men,Bronze,0.0,0.0,1.0
6755,Berlin (1936),1936,Football,Football,Oivind Holmsen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6756,Berlin (1936),1936,Football,Football,Fredrik Horn,NOR,Men,football men,Bronze,0.0,0.0,1.0
6757,Berlin (1936),1936,Football,Football,Magnar Isaksen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6758,Berlin (1936),1936,Football,Football,Henry Johansen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6759,Berlin (1936),1936,Football,Football,Jorgen Juve,NOR,Men,football men,Bronze,0.0,0.0,1.0
6760,Berlin (1936),1936,Football,Football,Reidar Osvald Kvammen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6761,Berlin (1936),1936,Football,Football,Alf Martinsen,NOR,Men,football men,Bronze,0.0,0.0,1.0
6762,Berlin (1936),1936,Football,Football,Magdalon Johannes Monsen,NOR,Men,football men,Bronze,0.0,0.0,1.0
